start_place_name,end_place_name,month,count
Assistentinpolku,Ikituuri,2019-07,26
Assistentinpolku,Ikituuri,2019-08,23
Assistentinpolku,Ikituuri,2019-09,50
Assistentinpolku,Ikituuri,2019-10,38
Assistentinpolku,Ikituuri,2019-11,21
Assistentinpolku,Ikituuri,2019-12,6
Assistentinpolku,Ikituuri,2020-01,13
Assistentinpolku,Ikituuri,2020-02,18
Assistentinpolku,Ikituuri,2020-03,13
Assistentinpolku,Kaupungintalo,2018-05,31
Assistentinpolku,Kaupungintalo,2018-06,18
Assistentinpolku,Kaupungintalo,2018-07,12
Assistentinpolku,Kaupungintalo,2018-08,16
Assistentinpolku,Kaupungintalo,2018-09,22
Assistentinpolku,Kaupungintalo,2018-10,30
Assistentinpolku,Kaupungintalo,2018-11,22
Assistentinpolku,Kaupungintalo,2018-12,14
Assistentinpolku,Kaupungintalo,2019-01,5
Assistentinpolku,Kaupungintalo,2019-02,9
Assistentinpolku,Kaupungintalo,2019-03,8
Assistentinpolku,Kaupungintalo,2019-04,23
Assistentinpolku,Kaupungintalo,2019-05,22
Assistentinpolku,Kaupungintalo,2019-06,12
Assistentinpolku,Kaupungintalo,2019-07,13
Assistentinpolku,Kaupungintalo,2019-08,18
Assistentinpolku,Kaupungintalo,2019-09,10
Assistentinpolku,Kaupungintalo,2019-10,8
Assistentinpolku,Kaupungintalo,2019-11,11
Assistentinpolku,Kaupungintalo,2019-12,8
Assistentinpolku,Kaupungintalo,2020-01,10
Assistentinpolku,Kaupungintalo,2020-02,12
Assistentinpolku,Kaupungintalo,2020-03,5
Assistentinpolku,Kaupungintalo,2020-04,2
Assistentinpolku,Kaupunginteatteri,2018-05,6
Assistentinpolku,Kaupunginteatteri,2018-06,6
Assistentinpolku,Kaupunginteatteri,2018-07,4
Assistentinpolku,Kaupunginteatteri,2018-08,2
Assistentinpolku,Kaupunginteatteri,2018-09,2
Assistentinpolku,Kaupunginteatteri,2018-11,1
Assistentinpolku,Kaupunginteatteri,2019-03,2
Assistentinpolku,Kaupunginteatteri,2019-04,6
Assistentinpolku,Kaupunginteatteri,2019-05,12
Assistentinpolku,Kaupunginteatteri,2019-06,16
Assistentinpolku,Kaupunginteatteri,2019-07,3
Assistentinpolku,Kaupunginteatteri,2019-08,5
Assistentinpolku,Kaupunginteatteri,2019-09,9
Assistentinpolku,Kaupunginteatteri,2019-10,1
Assistentinpolku,Kaupunginteatteri,2019-11,2
Assistentinpolku,Kaupunginteatteri,2019-12,2
Assistentinpolku,Kaupunginteatteri,2020-01,2
Assistentinpolku,Kaupunginteatteri,2020-02,4
Assistentinpolku,Kirjastosilta,2018-05,33
Assistentinpolku,Kirjastosilta,2018-06,16
Assistentinpolku,Kirjastosilta,2018-07,10
Assistentinpolku,Kirjastosilta,2018-08,23
Assistentinpolku,Kirjastosilta,2018-09,20
Assistentinpolku,Kirjastosilta,2018-10,15
Assistentinpolku,Kirjastosilta,2018-11,11
Assistentinpolku,Kirjastosilta,2018-12,7
Assistentinpolku,Kirjastosilta,2019-01,9
Assistentinpolku,Kirjastosilta,2019-02,7
Assistentinpolku,Kirjastosilta,2019-03,17
Assistentinpolku,Kirjastosilta,2019-04,36
Assistentinpolku,Kirjastosilta,2019-05,23
Assistentinpolku,Kirjastosilta,2019-06,12
Assistentinpolku,Kirjastosilta,2019-07,9
Assistentinpolku,Kirjastosilta,2019-08,33
Assistentinpolku,Kirjastosilta,2019-09,29
Assistentinpolku,Kirjastosilta,2019-10,25
Assistentinpolku,Kirjastosilta,2019-11,29
Assistentinpolku,Kirjastosilta,2019-12,6
Assistentinpolku,Kirjastosilta,2020-01,8
Assistentinpolku,Kirjastosilta,2020-02,7
Assistentinpolku,Kirjastosilta,2020-03,6
Assistentinpolku,Kirjastosilta,2020-04,4
Assistentinpolku,Kristiinankatu,2018-05,14
Assistentinpolku,Kristiinankatu,2018-06,6
Assistentinpolku,Kristiinankatu,2018-07,17
Assistentinpolku,Kristiinankatu,2018-08,18
Assistentinpolku,Kristiinankatu,2018-09,10
Assistentinpolku,Kristiinankatu,2018-10,20
Assistentinpolku,Kristiinankatu,2018-11,12
Assistentinpolku,Kristiinankatu,2018-12,8
Assistentinpolku,Kristiinankatu,2019-01,5
Assistentinpolku,Kristiinankatu,2019-02,1
Assistentinpolku,Kristiinankatu,2019-03,13
Assistentinpolku,Kristiinankatu,2019-04,278
Assistentinpolku,Kristiinankatu,2019-05,5
Assistentinpolku,Kristiinankatu,2019-06,9
Assistentinpolku,Kristiinankatu,2019-07,6
Assistentinpolku,Kristiinankatu,2019-08,7
Assistentinpolku,Kristiinankatu,2019-09,11
Assistentinpolku,Kristiinankatu,2019-10,7
Assistentinpolku,Kristiinankatu,2019-11,9
Assistentinpolku,Kristiinankatu,2019-12,20
Assistentinpolku,Kristiinankatu,2020-01,2
Assistentinpolku,Kristiinankatu,2020-02,9
Assistentinpolku,Kristiinankatu,2020-03,6
Assistentinpolku,Kunnallissairaala,2018-05,2
Assistentinpolku,Kunnallissairaala,2018-07,1
Assistentinpolku,Kunnallissairaala,2018-08,1
Assistentinpolku,Kunnallissairaala,2018-09,3
Assistentinpolku,Kunnallissairaala,2018-10,5
Assistentinpolku,Kunnallissairaala,2018-11,4
Assistentinpolku,Kunnallissairaala,2018-12,5
Assistentinpolku,Kunnallissairaala,2019-01,3
Assistentinpolku,Kunnallissairaala,2019-02,1
Assistentinpolku,Kunnallissairaala,2019-03,3
Assistentinpolku,Kunnallissairaala,2019-04,4
Assistentinpolku,Kunnallissairaala,2019-05,3
Assistentinpolku,Kunnallissairaala,2019-06,1
Assistentinpolku,Kunnallissairaala,2019-08,1
Assistentinpolku,Kunnallissairaala,2019-09,3
Assistentinpolku,Kunnallissairaala,2019-10,7
Assistentinpolku,Kunnallissairaala,2019-11,12
Assistentinpolku,Kunnallissairaala,2019-12,4
Assistentinpolku,Kunnallissairaala,2020-01,5
Assistentinpolku,Kunnallissairaala,2020-02,6
Assistentinpolku,Kunnallissairaala,2020-03,3
Assistentinpolku,Kupittaan asema,2018-05,18
Assistentinpolku,Kupittaan asema,2018-06,13
Assistentinpolku,Kupittaan asema,2018-07,4
Assistentinpolku,Kupittaan asema,2018-08,19
Assistentinpolku,Kupittaan asema,2018-09,25
Assistentinpolku,Kupittaan asema,2018-10,39
Assistentinpolku,Kupittaan asema,2018-11,28
Assistentinpolku,Kupittaan asema,2018-12,18
Assistentinpolku,Kupittaan asema,2019-01,21
Assistentinpolku,Kupittaan asema,2019-02,7
Assistentinpolku,Kupittaan asema,2019-03,18
Assistentinpolku,Kupittaan asema,2019-04,21
Assistentinpolku,Kupittaan asema,2019-05,18
Assistentinpolku,Kupittaan asema,2019-06,24
Assistentinpolku,Kupittaan asema,2019-07,6
Assistentinpolku,Kupittaan asema,2019-08,26
Assistentinpolku,Kupittaan asema,2019-09,42
Assistentinpolku,Kupittaan asema,2019-10,30
Assistentinpolku,Kupittaan asema,2019-11,22
Assistentinpolku,Kupittaan asema,2019-12,15
Assistentinpolku,Kupittaan asema,2020-01,22
Assistentinpolku,Kupittaan asema,2020-02,12
Assistentinpolku,Kupittaan asema,2020-03,8
Assistentinpolku,Kupittaankatu,2018-05,5
Assistentinpolku,Kupittaankatu,2018-06,9
Assistentinpolku,Kupittaankatu,2018-07,1
Assistentinpolku,Kupittaankatu,2018-08,6
Assistentinpolku,Kupittaankatu,2018-09,11
Assistentinpolku,Kupittaankatu,2018-10,11
Assistentinpolku,Kupittaankatu,2018-11,29
Assistentinpolku,Kupittaankatu,2018-12,4
